Listing Site Data[Product Name],Listing Site Data[Categories],Listing Site Data[Average Position],Listing Site Data[Clicks],Listing Site Data[Leads],Listing Site Data[Money Spent ($)],Listing Site Data[Channel],Listing Site Data[Location],Listing Site Data[Prospects],Listing Site Data[Paid],Listing Site Data[Paid Date],Listing Site Data[Date of report],Listing Site Data[Month],Listing Site Data[monthno],Listing Site Data[Monthrank],Listing Site Data[weekenddate],Listing Site Data[weeknum],Listing Site Data[weekstartdate],Listing Site Data[weekrank]
"Omnify","Coaching","13","1","","2","Capterra","UNITED STATES","","0","","20-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Scheduling","59","1","","2","GetApp","UNITED STATES","","0","","20-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Class Registration","16","1","","2","Capterra","UNITED STATES","","0","","21-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Swim School","8","1","","2","Capterra","UNITED STATES","","0","","21-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Yoga Studio","29","1","","2","GetApp","UNITED STATES","","0","","21-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Coaching","13","1","","2","Capterra","UNITED STATES","","0","","22-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Coaching","9","1","","2","Capterra","UNITED STATES","","0","","23-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Camp Management","1","1","","2","Software Advice","UNITED STATES","","0","","24-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Camp Management","10","1","","2","Capterra","UNITED STATES","","0","","24-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Personal Trainer","26","1","","2","GetApp","UNITED STATES","","0","","24-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","43","19-10-2020 0:00:00","2"
"Omnify","Camp Management","10","1","","2","Capterra","UNITED STATES","","0","","25-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","44","19-10-2020 0:00:00","2"
"Omnify","Coaching","1","1","","2","GetApp","UNITED STATES","","0","","25-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","44","19-10-2020 0:00:00","2"
